#Columns,21,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
N/A,SPS_0008-1,Liquid>aqueous,-9999,-9999,-9999,5.55,1.18,Fluoride_0.118_ppm_Below_0.12_ppm,-9999,2.81,-9999,-9999,-9999,0.71,3.79,0.04,1.17,0.15,1.86,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000
N/A,SPS_0015-1,Liquid>aqueous,-9999,-9999,Bromide_0.0562_ppm_Below_0.056_ppm,10.5,6.35,0.14,-9999,1.49,0.1,0.02,-9999,0.53,6.15,1.39,0.42,TN_0.0497_ppm_Below_LOD_0.07_ppm,0.51,See_FTICR_folder,Mg_CV_030;K_CV_030;DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0009-1,Liquid>aqueous,-9999,-9999,-9999,6.54,0.58,0.04,-9999,2.54,0.04,0.02,-9999,1.19,3.36,0.25,0.87,TN_0.0729_ppm_Below_0.1_ppm,0.94,See_FTICR_folder,Cl_CV_030;F_CV_030;F_BLC_000;DTL_000
N/A,SPS_0010-1,Liquid>aqueous,-9999,-9999,Bromide_0.186_ppm_Below_LOD_0.0084_ppm,12.5,0.71,0.15,-9999,5.49,0.07,0.04,0.57,1.48,4.8,0.22,0.6,TN_0.091_ppm_Below_0.1_ppm,1.2,See_FTICR_folder,Cl_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0028-1,Liquid>aqueous,-9999,-9999,0.21,10.7,2.49,0.11,-9999,4.04,0.42,0.02,0.35,0.91,3.47,1.38,1.25,0.2,4.67,See_FTICR_folder,Br_BLC_000;F_BLC_000
N/A,SPS_0019-1,Liquid>aqueous,-9999,-9999,-9999,4.89,0.48,0.03,-9999,3.23,0.06,0.02,-9999,0.17,-9999,0.44,0.68,TN_0.078_ppm_Below_0.1_ppm,0.31,See_FTICR_folder,Cl_CV_030;F_CV_030;K_CV_030;F_BLC_000;DTL_000
N/A,SPS_0030-1,Liquid>aqueous,-9999,-9999,-9999,8.3,2.6,0.1,-9999,2.15,0.05,0.02,-9999,0.86,3.23,2.78,1.14,0.11,9.67,See_FTICR_folder,F_BLC_000
N/A,SPS_0048-1,Liquid>aqueous,-9999,-9999,0.09,8.26,1.7,0.06,-9999,3.02,0.24,0.03,-9999,0.42,2.21,0.84,1.1,0.15,2.59,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;F_BLC_000
N/A,SPS_0049-1,Liquid>aqueous,-9999,-9999,0.09,3.87,1.41,Fluoride_0.0497_ppm_Below_0.12_ppm,-9999,1.15,0.21,-9999,-9999,0.31,1.02,0.88,1.22,0.21,5.56,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0017-1,Liquid>aqueous,-9999,-9999,Bromide_0.0509_ppm_Below_0.056_ppm,7.03,1.05,Fluoride_0.0823_ppm_Below_0.1_ppm,-9999,2.42,0.08,0.02,-9999,0.38,1.57,0.57,0.75,TN_0.0783_ppm_Below_0.1_ppm,2.23,See_FTICR_folder,Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0033-1,Liquid>aqueous,-9999,-9999,1.15,18.1,11,0.22,-9999,14.9,1.95,0.02,-9999,3.96,18.5,17.1,2.22,0.68,12.7,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;F_BLC_000
N/A,SPS_0042-1,Liquid>aqueous,-9999,-9999,Bromide_0.0508_ppm_Below_0.056_ppm,13.4,0.5,0.11,-9999,2.59,0.08,0.02,-9999,0.48,2.81,1.77,0.64,TN_0.0842_ppm_Below_0.1_ppm,0.47,See_FTICR_folder,Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0003-1,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.23,0.38,4.69,See_FTICR_folder,N/A
N/A,SPS_0028-2,Liquid>aqueous,9.37,-9999,0.39,9.77,2.99,0.15,-9999,3.93,0.52,0.04,0.56,0.87,3.49,1.52,1.24,0.19,-9999,See_FTICR_folder,Br_BLC_000;F_BLC_000
N/A,SPS_0001-2,Liquid>aqueous,10.7,-9999,0.19,8.49,1.55,0.14,-9999,3.5,0.1,0.02,-9999,1.58,5.8,1.15,0.66,TN_0.0724_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,F_CV_030;NO4_CV_030;SO4_CV_030;Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0003-3,Liquid>aqueous,24.1,-9999,0.48,13.1,5.25,0.13,-9999,6.25,0.91,0.03,0.4,2.92,8.97,4.66,1.37,0.43,-9999,See_FTICR_folder,F_BLC_000
N/A,SPS_0030-3,Liquid>aqueous,6.47,-9999,-9999,7.07,2.44,0.14,-9999,1.75,0.02,-9999,-9999,0.85,2.8,2.61,0.91,TN_0.0791_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_BLC_000;DTL_000
N/A,SPS_0004-2,Liquid>aqueous,24.4,-9999,4.06,17,5.45,0.16,-9999,8.8,6.39,0.04,0.35,2.47,10.5,7.89,1.64,1.92,-9999,See_FTICR_folder,Br_BLC_000;F_BLC_000
N/A,SPS_0031-2,Liquid>aqueous,6.99,1.92,-9999,4.25,2.46,Fluoride_0.0468_ppm_Below_0.12_ppm,-9999,1.07,-9999,-9999,-9999,0.47,1.69,13.6,0.95,TN_0.0765_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000
N/A,SPS_0006-2,Liquid>aqueous,13.7,-9999,-9999,5.15,1.4,Fluoride_0.092_ppm_Below_0.12_ppm,-9999,2.4,-9999,-9999,-9999,0.54,2.77,0.04,0.83,TN_0.0838_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000
